Index,avg_price_per_kg
1,10.540689
2,12.396019
3,9.94441
4,8.630735
5,8.023583
6,4.4258633
7,3.6695483
8,7.303367
9,8.885741
10,9.442961
11,5.3568463
12,5.6871166
13,8.537421
14,4.3619075
15,4.4635515
16,6.1320453
17,7.454352
18,4.413589
19,11.240901
20,6.2964745
21,6.0182943
22,4.8194304
23,5.674131
24,7.781829
25,5.549422
26,6.690846
27,7.8800197
28,7.9199853
29,7.4790688
30,7.197928
31,7.982249
32,5.5950265
33,8.941937
34,7.6547422
35,4.8497767
36,9.950018
37,11.015869
38,11.397117
39,6.0668316
40,6.469514
41,8.407282
42,8.357483
43,4.9642644
44,6.350372
45,5.5743833
46,4.987553
47,5.1130395
48,5.79846
49,6.1819205
50,4.766667
51,1.3444306
52,6.388742
53,6.4562154
54,14.207454
55,8.896225
56,5.607264
57,11.868843
58,9.013906
59,8.221473
60,5.8753853
61,8.15832
62,11.408887
63,6.2157235
64,9.339907
65,5.581927
66,6.0858707
67,6.6826997
68,4.982849
69,5.81188
70,7.0657926
71,5.4728494
72,4.3595214
73,2.8862174
74,7.942687
75,6.725644
76,5.3282914
77,6.076998
78,9.11466
79,10.881804
80,6.3786697
81,7.316145
82,5.0215983
83,5.942569
84,5.5987406
85,1.3531727
86,5.701603
87,6.927169
88,12.013022
89,4.49419
90,6.919541
91,9.446183
92,9.464895
93,7.210286
94,5.922989
95,5.9603457
96,6.333236
97,8.406324
98,8.874733
99,6.9054995
100,5.540474
101,11.822567
102,6.736297
103,5.957632
104,7.757027
105,6.73934
106,8.195461
107,7.3832912
108,2.671394
109,10.077941
110,5.0041885
111,4.807189
112,8.20377
113,6.1188893
114,4.148929
115,6.549481
116,9.877756
117,5.361712
118,10.319087
119,4.44477
120,6.836322
121,5.941074
122,4.1292896
123,9.928531
124,4.500296
125,8.506968
126,7.5464363
127,4.730546
128,9.091835
129,10.015945
130,5.8306503
131,6.8188934
132,5.585326
133,8.997082
134,8.525235
135,1.2401439
136,6.0292196
137,7.7783
138,7.2882547
139,7.787031
140,5.604223
141,7.782202
142,5.588468
143,8.80341
144,4.886458
145,9.152469
146,7.0438585
147,5.6351867
148,7.8728876
149,5.459355
150,8.890229
151,9.964199
152,7.8610077
153,4.286352
154,8.825127
155,7.167245
156,11.083648
157,5.650902
158,4.3207684
159,5.964357
160,5.7445765
161,8.030095
162,9.901095
163,7.4890246
164,8.345729
165,7.501671
166,8.120659
167,8.1154175
168,6.670237
169,5.0430408
170,7.856893
171,8.486306
172,6.898204
173,5.224445
174,11.934436
175,5.9254937
176,4.6023526
177,7.472863
178,5.7340508
179,5.9815655
180,7.8065457
181,5.10669
182,0.2724378
183,9.939963
184,7.748904
185,7.240531
186,0.2703894
187,4.8459115
188,9.923543
189,6.850613
190,5.8006625
191,5.537275
192,9.348527
193,4.951091
194,4.5250535
195,9.945933
196,8.694295
197,9.226319
198,6.9335675
199,6.0187206
200,7.885984
201,7.6522527
202,3.0485485
203,8.192158
204,1.6418285
205,6.400426
206,4.3295255
207,8.194276
208,7.781829
209,7.5243635
210,8.295278
211,7.2412996
212,15.221984
213,5.873088
214,5.9223714
215,9.6134205
216,5.566753
217,5.8980837
218,5.6206956
219,10.81923
220,7.370095
221,5.5812726
222,5.169917
223,8.948467
224,11.268851
225,12.112598
226,6.8066983
227,5.224098
228,5.6268673
229,9.325471
230,5.5306273
231,5.105054
232,10.537823
233,7.741672
234,5.4665923
235,6.613443
236,6.1277146
237,8.861765
238,8.667998
239,4.4459558
240,5.5233407
241,4.4207916
242,5.205102
243,6.5742426
244,7.9844737
245,10.73336
246,6.983806
247,5.8998303
248,7.702301
249,5.272015
250,9.638365
251,8.5081415
252,9.573472
253,5.382531
254,4.841564
255,6.676006
256,4.299538
257,7.4237175
258,8.991512
259,8.813653
260,8.282207
261,10.598515
262,10.650642
263,6.295027
264,5.961005
265,4.960777
266,7.2748756
267,5.0155
268,6.344795
269,4.952278
270,6.6832585
271,8.464205
272,6.8009057
273,10.861444
274,1.1707199
275,7.857734
276,10.071861
277,5.368943
278,6.6765056
279,6.012268
280,8.148589
281,5.0656013
282,6.2943153
283,6.343745
284,4.198612
285,9.490727
286,4.594613
287,5.8666253
288,5.334776
289,8.117376
290,8.091278
291,5.8755603
292,5.8803487
293,5.7801805
294,1.256976
295,6.7112246
296,6.9836593
297,8.400732
298,8.963242
299,8.060855
300,7.6914835
301,5.543923
302,6.101624
303,4.3297143
304,6.188552
305,8.552292
306,8.7108555
307,5.448047
308,3.9807305
309,8.259118
310,6.197417
311,6.2090516
312,6.807996
313,4.909065
314,8.506067
315,10.5468645
316,8.615872
317,6.363159
318,5.775262
319,6.0304284
320,6.6689615
321,5.986463
322,6.603089
323,4.238385
324,7.8043394
325,5.009468
326,3.9371889
327,7.5802484
328,5.774391
329,10.514977
330,7.4375067
331,5.477535
332,5.517944
333,9.16482
334,6.395307
335,8.221409
336,7.965079
337,9.037031
338,6.6714754
339,7.6114044
340,4.6448402
341,6.62712
342,5.6639028
343,9.132503
344,6.755764
345,9.496897
346,6.840832
347,9.330709
348,5.0251417
349,7.910841
350,8.448714
351,8.110699
352,9.489334
353,7.6543317
354,8.5444
355,6.3436136
356,6.65167
357,5.779419
358,8.769348
359,9.254147
360,8.447421
361,6.426983
362,6.43746
363,6.8889947
364,8.68639
365,5.5846357
366,6.6482983
367,7.600938
368,7.8087173
369,4.4731255
370,9.059825
371,4.6445484
372,6.7016435
373,6.155546
374,9.128079
375,6.715715
376,7.1332026
377,5.038532
378,6.5650387
379,7.6543317
380,7.0237384
381,6.05022
382,7.101509
383,6.705034
384,6.9023256
385,2.6366441
386,7.816139
387,5.8205395
388,8.169493
389,3.4673855
390,9.392552
391,7.053208
392,6.1699653
393,9.233597
394,9.383248
395,1.3663335
396,8.5964575
397,6.8087068
398,7.305717
399,7.4364166
400,6.3180747
401,6.1350894
402,2.3839395
403,10.1135235
404,5.2789216
405,5.7285094
406,9.429582
407,4.663646
408,7.419924
409,4.7124662
410,9.945936
411,9.812872
412,4.148929
413,5.666056
414,8.296314
415,9.332283
416,4.621656
417,8.423019
418,5.464761
419,10.0443735
420,6.6469545
421,2.5507197
422,5.074223
423,7.644468
424,5.125739
425,6.565254
426,9.33261
427,8.698705
428,7.7481103
429,8.485948
430,6.7960124
431,10.158495
432,8.235827
433,7.3577914
434,10.99108
435,6.830985
436,7.9410567
437,4.532041
438,5.372258
439,5.7354326
440,6.16175
441,7.9506445
442,5.78007
443,9.888634
444,9.818225
445,9.140814
446,10.263465
447,7.608627
448,8.172308
449,8.126706
450,8.373495
451,9.995236
452,6.5602016
453,9.313927
454,8.434517
455,6.6293263
456,7.6068993
457,8.317966
458,8.189344
459,4.4169235
460,7.6051154
461,4.9669147
462,8.74189
463,5.588389
464,5.819888
465,8.440075
466,3.9088874
467,4.833439
468,7.4935694
469,5.609777
470,8.658658
471,7.8592253
472,8.314213
473,5.6399436
474,4.7182035
475,5.499056
476,10.254129
477,9.666055
478,4.1449337
479,6.5822973
480,5.580394
481,5.0118866
482,7.5919237
483,4.894224
484,3.0042632
485,8.244329
486,7.099974
487,8.067905
488,2.9947913
489,2.9243124
490,4.1449337
491,5.7492576
492,6.937705
493,7.7129707
494,7.643618
495,10.240218
496,6.7927427
497,4.0604787
498,8.485811
499,8.181887
500,8.828285
501,9.680556
502,12.163265
503,8.728804
504,9.118926
505,8.362918
506,9.877275
507,7.3353844
508,6.6092467
509,7.2898507
510,4.9303017
511,8.195461
512,7.1938176
513,6.0165343
514,4.4207916
515,7.6405277
516,8.763365
517,7.7890854
518,6.7569666
519,7.070173
520,5.2627964
521,9.161341
522,5.421928
523,6.2168703
524,6.7517633
525,6.992075
526,9.046819
527,7.741672
528,2.9474797
529,4.4169235
530,9.782153
531,9.963967
532,5.1926084
533,8.657126
534,7.540539
535,9.152285
536,8.195461
537,6.990357
538,5.364184
539,6.7446384
540,8.528752
541,8.490698
542,4.8312707
543,7.4545794
544,9.380711
545,7.802509
546,6.0384145
547,7.965583
548,6.3518395
549,4.3359632
550,6.515545
551,4.9598055
552,5.9513474
553,6.215789
554,4.985456
555,5.51733
556,5.6475005
557,10.032527
558,6.6934595
559,4.9397206
560,5.827696
561,8.856237
562,4.3964195
563,5.490749
564,5.60582
565,7.1991477
566,4.630212
567,9.464203
568,7.6522527
569,9.0452175
570,8.53718
571,4.594613
572,6.0166736
573,9.065223
574,8.038972
575,5.0523014
576,5.759299
577,6.2135706
578,2.8693826
579,7.619786
580,10.792866
581,5.5727654
582,5.428397
583,3.42032
584,6.4479733
585,8.852829
586,8.203459
587,6.5115595
588,13.2130165
589,6.636946
590,6.832209
591,8.28429
592,6.790527
593,6.16231
594,6.137717
595,6.905898
596,6.066661
597,6.376672
598,6.5657105
599,6.8154025
600,5.532744
601,6.5801044
602,7.2841287
603,10.2618065
604,8.619845
605,6.8961396
606,2.2292578
607,8.057754
608,4.1410103
609,8.365563
610,9.034373
611,8.483424
612,8.0336895
613,7.1940017
614,4.706911
615,10.552696
616,6.205055
617,6.4526143
618,12.78596
619,5.51595
620,7.747092
621,4.5858374
622,10.087099
623,8.112574
624,5.5504055
625,6.2531104
626,4.9642644
627,6.084601
628,4.574271
629,7.0645466
630,6.7760005
631,5.838417
632,6.886499
633,5.6267524
634,5.624453
635,7.11514
636,6.069928
637,9.061933
638,5.7742724
639,4.3113484
640,7.856094
641,6.287475
642,4.996273
643,8.244329
644,4.408544
645,10.989125
646,7.054973
647,6.72008
648,4.4059763
649,9.34661
650,7.6303287
651,5.6045485
652,7.629687
653,5.758668
654,8.634568
655,4.613557
656,7.600938
657,5.0882516
658,4.500685
659,5.5531955
660,9.3786
661,6.0612326
662,6.6947975
663,6.094345
664,1.6166443
665,10.71424
666,8.164218
667,7.8302765
668,4.7438607
669,11.397117
670,7.0637865
671,10.020903
672,5.44018
673,4.981108
674,6.911958
675,10.892952
676,10.469169
677,4.557596
678,6.082308
679,7.376959
680,2.12197
681,3.2579305
682,8.014003
683,6.1963863
684,6.940046
685,7.2794333
